Title,Carpet Area,Status,Floor,Price,Bathrooms,Transaction,Furnishing
1 BHK Apartment for Sale in Anand Millennium Tower Nagpur,550 sqft,Ready to Move,3 out of 5,"₹
26 Lac",,,
3 BHK Apartment for Sale in vaishnavi infinity Nagpur,1400 sqft,Poss. by Oct '24,1 out of 6,"₹
80 Lac",,,
"3 BHK Apartment for Sale in Shiv Elite, Wardha Road Nagpur",1100 sqft,Ready to Move,5 out of 8,"₹
73 Lac",,,
3 BHK Apartment for Sale in Laxmi Nagar Nagpur,1600 sqft,Ready to Move,3 out of 4,"₹
1.65 Cr",,,
3 BHK Apartment for Sale in Dhantoli Nagpur,1200 sqft,Ready to Move,5 out of 7,"₹
1.75 Cr",,,
3 BHK Apartment for Sale in Manewada Nagpur,1165 sqft,Poss. by Nov '24,1 out of 4,"₹
61 Lac",,,
3 BHK Apartment for Sale in Amravati Road Nagpur,1135 sqft,Ready to Move,5 out of 7,"₹
98.9 Lac",,,
2 BHK Apartment for Sale in Trimurti Nagar Nagpur,900 sqft,Ready to Move,2 out of 6,"₹
65 Lac",,,
1 BHK Apartment for Sale in Ram Das Peth Nagpur,650 sqft,Ready to Move,2 out of 4,"₹
30 Lac",,,
"2 BHK Apartment for Sale in Bhole Baba Ashirwad Apartment, Bhole Nagar Nagpur",700 sqft,Ready to Move,2 out of 3,"₹
33 Lac",,,
"2 BHK Apartment for Sale in TATTVA APAS, Bel Tarodi Nagpur",882 sqft,Poss. by Nov '25,2 out of 12,"₹
53.6 Lac",,,
2 BHK Apartment for Sale in Manewada Nagpur,N/A,Ready to Move,3 out of 5,"₹
40 Lac",,,
"1 BHK Apartment for Sale in FIRE Arcor Empyrean Eternity, Kotewada Nagpur",600 sqft,Ready to Move,1 out of 4,"₹
20 Lac",,,
2 BHK Apartment for Sale in shri nagari 1 Nagpur,750 sqft,Ready to Move,5 out of 11,"₹
35 Lac",,,
2 BHK Apartment for Sale in Besa Nagpur,856 sqft,Ready to Move,2 out of 5,"₹
50 Lac",,,
3 BHK Apartment for Sale in Gandhi Nagar Nagpur,1400 sqft,Poss. by Oct '25,1 out of 6,"₹
1.50 Cr",,,
4 BHK Villa for Sale in Mankapur Nagpur,3000 sqft,Ready to Move,N/A,"₹
3.35 Cr",,Resale,
1 BHK Apartment for Sale in Chichbhavan Main Road Nagpur,N/A,Ready to Move,2 out of 4,"₹
22 Lac",,,
3 BHK Apartment for Sale in Abhay Nagar Nagpur,950 sqft,Ready to Move,3 out of 4,"₹
55 Lac",,,
"2 BHK Apartment for Sale in Pyramid Gloria, Pipla Nagpur",N/A,Poss. by Mar '26,3 out of 13,"₹
36.8 Lac",,,
"3 BHK Apartment for Sale in Vedbhumi Vatsalyabhumi, Wathoda Nagpur",1760 sqft,Ready to Move,5 out of 7,"₹
90 Lac",,,
"2 BHK Apartment for Sale in Maria Ranjana Hills, Wagdara Nagpur",917 sqft,Ready to Move,1 out of 4,"₹
42 Lac",,,
"2 BHK Apartment for Sale in Bloomdale, Mihan Nagpur",850 sqft,Ready to Move,7 out of 7,"₹
90 Lac",,,
"3 BHK Apartment for Sale in Pyramid Gloria, Pipla Nagpur",N/A,Poss. by Nov '24,4 out of 15,"₹
49 Lac",,,
"2 BHK Apartment for Sale in Richmond Greens, Koradi Road Nagpur",800 sqft,Ready to Move,3 out of 3,"₹
30 Lac",,,
2 BHK Apartment for Sale in Hudkeshwar Road Nagpur,900 sqft,Poss. by Oct '24,3 out of 7,"₹
40 Lac",,,
3 BHK House for Sale in Arjun park beltarodi Nagpur,1550 sqft,Ready to Move,N/A,"₹
90 Lac",,Resale,
2 BHK Apartment for Sale in Sugat Nagar Nagpur,N/A,Ready to Move,4 out of 9,"₹
47 Lac",,,
2 BHK Apartment for Sale in Jaripatka Nagpur,N/A,Ready to Move,1 out of 5,"₹
43 Lac",,,
2 BHK Apartment for Sale in Old Subhedar Layout Nagpur,750 sqft,Ready to Move,Ground out of 3,"₹
38 Lac",,,
"3 BHK Apartment for Sale in Manish Nagar, New Manish Nagar Nagpur",1300 sqft,Poss. by Dec '24,2 out of 6,"₹
70 Lac",,,
"2 BHK Apartment for Sale in Shiv Residency 3, Anant Nagar Nagpur",1105 sqft,Ready to Move,4 out of 6,"₹
55 Lac",,,
2 BHK Apartment for Sale in Manish Nagar Nagpur,950 sqft,Ready to Move,1 out of 4,"₹
60 Lac",,,
"2 BHK Apartment for Sale in Bloomdale, Mihan Nagpur",N/A,Ready to Move,7 out of 7,"₹
68 Lac",,,
"3 BHK Apartment for Sale in Orchid Sunshine , Manish Nagar Nagpur",900 sqft,Poss. by Dec '24,2 out of 10,"₹
76.5 Lac",,,
"3 BHK Apartment for Sale in Vedant Aquamarine, Sone Gaon Nagpur",N/A,Poss. by Dec '27,N/A,"₹
97.8 Lac",,New Property,
"3 BHK Apartment for Sale in Pyramid Gloria, Pipla Nagpur",N/A,Poss. by Mar '28,N/A,"₹
46.4 Lac",,New Property,
"3 BHK Apartment for Sale in Pyramid Gloria, Pipla Nagpur",N/A,Poss. by Mar '28,N/A,"₹
40.8 Lac",,New Property,
"3 BHK Apartment for Sale in Gokul Society, Borgaon Nagpur",1200 sqft,Ready to Move,3 out of 5,"₹
52 Lac",,,
"2 BHK Apartment for Sale in Durvang Vasant Imperial, Manish Nagar Nagpur",N/A,Ready to Move,N/A,"₹
62 Lac",,New Property,
3 BHK Apartment for Sale in Narendra Nagar Nagpur,1150 sqft,Ready to Move,3 out of 4,"₹
81 Lac",,,
"1 BHK Apartment for Sale in Mahindra Bloomdale4C, Mihan Nagpur",N/A,Ready to Move,1 out of 7,"₹
45 Lac",,Resale,Unfurnished
"2 BHK Apartment for Sale in Shirkant Apartment Laxmi Nagar, Raksha Colony Nagpur",700 sqft,Ready to Move,2 out of 3,"₹
52 Lac",,,
"2 BHK Apartment for Sale in TATTVA APAS, Bel Tarodi Nagpur",N/A,Poss. by Nov '28,N/A,"₹
54.3 Lac",,New Property,
2 BHK Apartment for Sale in Narendra Nagar Nagpur,750 sqft,Ready to Move,1 out of 3,"₹
44 Lac",,,
"2 BHK Apartment for Sale in Bhil City 3, Kamptee Nagpur",N/A,Ready to Move,5 out of 8,"₹
31 Lac",,,
"1 BHK Apartment for Sale in SDPL Aashray Beltarodi, Wardha Road Nagpur",450 sqft,Ready to Move,4 out of 7,"₹
20 Lac",,,
"3 BHK Apartment for Sale in Pramila and Joity 2 Residency , Manewada Nagpur",1400 sqft,Ready to Move,2 out of 10,"₹
72.1 Lac",,,
"1 BHK Apartment for Sale in Waman Nagari, Pipla Nagpur",N/A,Poss. by Mar '25,1 out of 11,"₹
25 Lac",,,
2 BHK Apartment for Sale in KT Nagar Nagpur,960 sqft,Ready to Move,3 out of 5,"₹
47 Lac",,,
3 BHK Apartment for Sale in Manish Nagar Nagpur,1000 sqft,Ready to Move,3 out of 8,"₹
60 Lac",,,
3 BHK Apartment for Sale in nagpur dream home consultancy Nagpur,1300 sqft,Ready to Move,9 out of 10,"₹
2 Cr",,,
2 BHK Apartment for Sale in Netaji Nagar Nagpur,735 sqft,Poss. by Dec '24,2 out of 4,"₹
54.3 Lac",,,
"4 BHK Villa for Sale in Harbans Park, Isasani Nagpur",2524 sqft,Ready to Move,N/A,"₹
78 Lac",,New Property,
3 BHK Apartment for Sale in Trimurti Nagar Nagpur,1151 sqft,Poss. by Dec '25,5 out of 10,"₹
75.9 Lac",,,
2 BHK Apartment for Sale in Laxmi Nagar Nagpur,750 sqft,Ready to Move,Ground out of 6,"₹
65.8 Lac",,Resale,Unfurnished
"3 BHK House for Sale in Sandesh City, Jamtha Nagpur",1200 sqft,Ready to Move,N/A,"₹
49 Lac",,Resale,
"2 BHK Apartment for Sale in Kanchan Ganga, Hingna Nagpur",386 sqft,Ready to Move,1 out of 3,"₹
14 Lac",,,
"2 BHK Apartment for Sale in Abhijeet Mansion 7 Jetwan Society, Khamla Nagpur",N/A,Ready to Move,3 out of 3,"₹
65 Lac",,,
"3 BHK Apartment for Sale in Leverage Greens, Koradi Road Nagpur",N/A,Ready to Move,5 out of 5,"₹
38 Lac",,,
2 BHK Apartment for Sale in Gorewada Nagpur,800 sqft,Ready to Move,4 out of 4,"₹
39 Lac",,Resale,Unfurnished
2 BHK Apartment for Sale in Zingabai Takli Nagpur,700 sqft,Ready to Move,4 out of 5,"₹
49 Lac",,,
3 BHK Apartment for Sale in Raj nagar Nagpur,1900 sqft,Ready to Move,1 out of 6,"₹
1.80 Cr",,,
2 BHK Apartment for Sale in Pratap Nagar Nagpur,N/A,Ready to Move,1 out of 2,"₹
72 Lac",,,
"3 BHK Apartment for Sale in Pride SunShine, Godhani Road Nagpur",1130 sqft,Ready to Move,3 out of 4,"₹
38 Lac",,,
3 BHK Apartment for Sale in Manish Nagar Nagpur,1100 sqft,Poss. by Sep '25,2 out of 7,"₹
68 Lac",,Resale,Unfurnished
2 BHK Apartment for Sale in Besa Nagpur,700 sqft,N/A,1 out of 7,"₹
35 Lac",,Resale,Semi-Furnished
"2 BHK Apartment for Sale in Prabha city zingabai takli, Manakpura Nagpur",500 sqft,Ready to Move,4 out of 4,"₹
36 Lac",,Resale,Semi-Furnished
3 BHK Villa for Sale in Zingabai Takali Nagpur,N/A,N/A,N/A,"₹
67 Lac",,New Property,Unfurnished
3 BHK Apartment for Sale in Laxmi Nagar Nagpur,1400 sqft,Ready to Move,3 out of 7,"₹
1.70 Cr",,,
3 BHK Apartment for Sale in Pratap Nagar Nagpur,1100 sqft,Ready to Move,2 out of 7,"₹
1.05 Cr",,,
"2 BHK Apartment for Sale in First City, Mihan Nagpur",1050 sqft,Ready to Move,5 out of 13,"₹
50.4 Lac",,,
"2 BHK Apartment for Sale in Gokul Society, Borgaon Nagpur",1000 sqft,Ready to Move,1 out of 4,"₹
42 Lac",,,
"2 BHK Apartment for Sale in TATTVA APAS, Bel Tarodi Nagpur",870 sqft,Poss. by Nov '27,2 out of 13,"₹
54.1 Lac",,,
