Title,Carpet Area,Status,Floor,Price,Bathrooms,Transaction,Furnishing
"4 BHK Apartment for Sale in Ganga Legend, Bavdhan Pune",1470 sqft,Poss. by Dec '26,N/A,"₹
1.93 Cr",3,New Property,Unfurnished
"4 BHK Apartment for Sale in Lodha Estilo, Kharadi Pune",2150 sqft,Poss. by Oct '27,N/A,"₹
3.87 Cr",5,New Property,Unfurnished
"3 BHK Apartment for Sale in Shubh Nirvana, Viman Nagar Pune",1239 sqft,Poss. by Dec '26,N/A,"₹
2.11 Cr",3,New Property,Unfurnished
"4 BHK Apartment for Sale in Venkatesh Erandwane Central, Erandwane Pune",1937 sqft,Poss. by Sep '26,N/A,"₹
4.94 Cr",,New Property,Semi-Furnished
"5 BHK Apartment for Sale in Bramha the Collection, New Kalyani Nagar Pune",1854 sqft,Poss. by Dec '28,N/A,"₹
2.78 Cr",,New Property,Unfurnished
"2 BHK Apartment for Sale in Rohan Ekam, Balewadi Pune",869 sqft,Poss. by Dec '27,N/A,"₹
1.10 Cr",,New Property,Semi-Furnished
2 BHK Apartment for Sale in Hinjawadi Pune,840 sqft,Poss. by Dec '26,9 out of 20,"₹
98.3 Lac",,,
2 BHK Apartment for Sale in Gahunje Pune,1755 sqft,Poss. by Dec '24,8 out of 22,"₹
1.90 Cr",,,
"3 BHK Apartment for Sale in Riverdale Grand, Kharadi Pune",1187 sqft,Poss. by Dec '24,9 out of 27,"₹
1.65 Cr",,,
"3 BHK Apartment for Sale in Ganga Asmi, Wakad Pune",903 sqft,Poss. by Dec '28,N/A,"₹
1.05 Cr",,New Property,
"3 BHK Apartment for Sale in M Soul Strings, Pashan Pune",1320 sqft,Poss. by Dec '27,13 out of 30,"₹
1.94 Cr",,,
"3 BHK Apartment for Sale in Rohan Ekam, Balewadi Pune",N/A,Poss. by Dec '27,N/A,"₹
2.47 Cr",,New Property,
"2 BHK Apartment for Sale in Springshire, Wagholi Pune",782 sqft,Poss. by Mar '28,N/A,"₹
72 Lac",,New Property,
"2 BHK Apartment for Sale in Kalpataru Jade Skyline, Pan Card Club Road Pune",860 sqft,Poss. by Dec '25,15 out of 21,"₹
1.15 Cr",,,
"4 BHK Apartment for Sale in M Soul Strings, Pashan Pune",2060 sqft,Poss. by Dec '25,18 out of 30,"₹
3.19 Cr",,,
"3 BHK Apartment for Sale in M Soul Strings, Pashan Pune",1305 sqft,Poss. by Dec '26,18 out of 30,"₹
1.79 Cr",,,
"3 BHK Apartment for Sale in Kalpataru Jade Residences, Baner Pune",1350 sqft,Ready to Move,4 out of 20,"₹
2.30 Cr",,,
"4 BHK Apartment for Sale in Rahul Arcus, Baner Pune",2100 sqft,Ready to Move,10 out of 19,"₹
2.67 Cr",,,
"3 BHK Apartment for Sale in Megapolis Sangria Towers, Hinjawadi Pune",1044 sqft,Ready to Move,19 out of 21,"₹
84 Lac",,,
"2 BHK Apartment for Sale in Dudulgaon, Alandi Pune",729 sqft,Poss. by Dec '26,5 out of 14,"₹
46.6 Lac",,,
"3 BHK Apartment for Sale in Amanora Victory Towers, Mundhwa Pune",1250 sqft,Ready to Move,9 out of 22,"₹
1.11 Cr",,,
"3 BHK Apartment for Sale in Mountain View Co Operative Society, Shivajinagar Pune",1334 sqft,Poss. by Dec '24,7 out of 7,"₹
3.84 Cr",,,
"3 BHK Apartment for Sale in Astrana, Hadapsar Pune",1178 sqft,Poss. by Dec '27,15 out of 30,"₹
1.50 Cr",,,
"4 BHK Apartment for Sale in Lodha Panache, Hinjawadi Pune",1900 sqft,Poss. by Jun '27,N/A,"₹
3.20 Cr",,New Property,
"2 BHK Apartment for Sale in Puravankara Purva Silversands, Keshav Nagar Mundhwa Pune",820 sqft,Ready to Move,15 out of 21,"₹
89.2 Lac",,,
