Title,Carpet Area,Status,Floor,Price,Bathrooms,Transaction,Furnishing
2 BHK Apartment for Sale in Eastern Metropolitan Bypass Kolkata,800 sqft,N/A,4 out of 4,"₹
45 Lac",,Resale,Furnished
"3 BHK Apartment for Sale in Dream City, Joka Kolkata",N/A,Ready to Move,3 out of 9,"₹
35 Lac",,,
"4 BHK Apartment for Sale in Kendriya Vihar Phase 2, Belghoria Expressway Kolkata",N/A,Ready to Move,3 out of 6,"₹
1.05 Cr",,Resale,Unfurnished
"2 BHK Apartment for Sale in Eden Richmond Enclave, Narendrapur Rajpur Sonarpur Kolkata",N/A,Ready to Move,1 out of 4,"₹
34 Lac",,Resale,Unfurnished
2 BHK Apartment for Sale in East Belgharia Kolkata,590 sqft,Ready to Move,3 out of 4,"₹
31 Lac",,Resale,Unfurnished
8 BHK House for Sale in Nagerbazar Kolkata,3200 sqft,Ready to Move,2 out of 3,"₹
1.85 Cr",,,
"2 BHK Apartment for Sale in Dream Palazzo, Rajarhat Kolkata",N/A,Ready to Move,6 out of 6,"₹
39 Lac",,Resale,Unfurnished
2 BHK Apartment for Sale in Salkia Kolkata,656 sqft,Ready to Move,Ground out of 1,"₹
27 Lac",,,
"3 BHK Apartment for Sale in Bally Imperia, Bally Kolkata",N/A,Ready to Move,6 out of 7,"₹
70 Lac",,Resale,Semi-Furnished
"4 BHK Apartment for Sale in PS Vaanya, New Town Kolkata",2045 sqft,Poss. by Dec '26,15 out of 35,"₹
3.25 Cr",,,
"3 BHK Apartment for Sale in Ozone Kolkata, Eastern Metropolitan Bypass Kolkata",N/A,Ready to Move,8 out of 18,"₹
1.80 Cr",,,
2 BHK Builder Floor for Sale in Dum Dum Kolkata,800 sqft,Ready to Move,Ground out of 4,"₹
38 Lac",,,
3 BHK House for Sale in Chinsurah Kolkata,N/A,Ready to Move,2 out of 3,"₹
57 Lac",,,
2 BHK Apartment for Sale in Sodepur Kolkata,600 sqft,Ready to Move,2 out of 5,"₹
42.5 Lac",,,
10 BHK Villa for Sale in Ballygunge Kolkata,N/A,Ready to Move,N/A,"₹
6 Cr",7,Resale,Unfurnished
"2 BHK Apartment for Sale in Uttar Prantik Abasan, Barrackpore Trunk Road Kolkata",555 sqft,Ready to Move,1 out of 4,"₹
21 Lac",,Resale,Semi-Furnished
"3 BHK Apartment for Sale in South City Garden, New Alipore Kolkata",N/A,Ready to Move,1 out of 16,"₹
90 Lac",,Resale,Unfurnished
"2 BHK Builder Floor for Sale in Curiocity Classic, New Town Kolkata",N/A,Poss. by Mar '25,2 out of 5,"₹
45.6 Lac",,,
"2 BHK Apartment for Sale in PS Kalyan, Bhowanipore Kolkata",830 sqft,Ready to Move,1 out of 4,"₹
1.21 Cr",,,
