City,Price,Area (sqft),Construction Status,BHK,Bathrooms,Location_encoded
0,2500000.0,400,0,1.0,1.0,33
0,2900000.0,705,0,1.0,1.0,33
0,1400000.0,565,0,1.0,1.0,34
0,2400000.0,400,0,1.0,1.0,117
0,3600000.0,455,0,1.0,1.0,117
0,2500000.0,560,0,1.0,1.0,119
0,2800000.0,484,0,1.0,1.0,119
0,4800000.0,594,0,1.0,1.0,172
0,10000000.0,800,0,1.0,1.0,176
0,5500000.0,350,0,1.0,1.0,202
0,7556000.0,600,0,1.0,1.0,215
0,3500000.0,645,0,1.0,1.0,353
0,4000000.0,475,0,1.0,1.0,394
0,3200000.0,560,0,1.0,1.0,419
0,4500000.0,700,0,1.0,1.0,419
0,6200000.0,685,0,1.0,1.0,419
0,1700000.0,375,0,1.0,1.0,443
0,1700000.0,575,0,1.0,1.0,443
0,4000000.0,585,0,1.0,1.0,448
0,7500000.0,345,0,1.0,2.0,78
0,9900000.0,541,0,1.0,2.0,78
0,11800000.0,450,0,1.0,2.0,139
0,6600000.0,650,0,1.0,2.0,266
0,2420000.0,500,0,1.0,2.0,287
0,2400000.0,380,0,1.0,2.0,288
0,3000000.0,550,0,1.0,2.0,288
0,4400000.0,670,0,1.0,2.0,418
0,3800000.0,625,0,1.0,2.0,117
0,10500000.0,650,0,1.0,2.0,161
0,11000000.0,650,0,1.0,2.0,161
0,11500000.0,650,0,1.0,2.0,161
0,9500000.0,585,0,1.0,2.0,161
0,3600000.0,690,0,1.0,2.0,171
0,4625000.0,675,0,1.0,2.0,171
0,5990000.0,648,0,1.0,2.0,425
0,17200000.0,600,0,1.0,2.0,455
0,18000000.0,600,0,1.0,2.0,455
0,8500000.0,560,0,1.0,3.0,54
0,4250000.0,675,0,1.0,3.0,172
0,4600000.0,450,0,1.0,3.0,266
0,11100000.000000002,707,0,1.0,3.0,274
1,3649000.0,445,0,1.0,2.0,422
1,3761000.0,458,0,1.0,2.0,422
1,4010000.0,455,0,1.0,2.0,471
1,3400000.0,470,0,1.0,4.0,356
1,4655000.0,510,0,1.0,4.0,471
0,5150000.0,410,0,1.0,5.0,177
0,4800000.0,700,0,1.0,5.0,432
0,4800000.0,700,0,1.0,5.0,432
0,3600000.0,650,0,1.0,5.0,447
0,4250000.0,622,0,1.0,5.0,447
0,16500000.0,410,0,1.0,5.0,495
0,7000000.0,650,0,1.0,2.0,53
0,11500000.0,620,0,1.0,2.0,78
0,11500000.0,620,0,1.0,2.0,78
0,13200000.0,675,0,1.0,2.0,78
0,7000000.0,387,0,1.0,2.0,176
0,6200000.0,670,0,1.0,2.0,202
0,6057000.0,680,0,1.0,2.0,266
0,6500000.0,680,0,1.0,2.0,266
0,6500000.0,690,0,1.0,2.0,266
0,6500000.0,695,0,1.0,2.0,266
0,6500000.0,965,0,1.0,2.0,266
0,6600000.0,725,0,1.0,2.0,266
0,6800000.0,640,0,1.0,2.0,266
0,7000000.0,650,0,1.0,2.0,266
0,7000000.0,650,0,1.0,2.0,266
0,7200000.0,695,0,1.0,2.0,266
0,8500000.0,1050,0,1.0,2.0,266
0,3500000.0,695,0,1.0,2.0,419
0,5300000.0,680,0,1.0,2.0,425
0,3400000.0,680,0,1.0,2.0,432
0,3851000.0,700,0,1.0,2.0,432
0,4300000.0,710,0,1.0,2.0,432
1,4300000.0,600,0,1.0,1.0,282
1,2500000.0,460,0,1.0,2.0,213
1,4200000.0,670,0,1.0,2.0,213
1,3500000.0,580,0,1.0,2.0,282
1,3300000.0,550,0,1.0,2.0,435
1,1901000.0000000002,477,0,1.0,1.0,36
1,1290000.0,298,0,1.0,1.0,74
1,3400000.0,619,0,1.0,2.0,106
1,3100000.0,650,0,1.0,2.0,145
1,3500000.0,510,0,1.0,2.0,227
1,1698999.9999999998,425,0,1.0,1.0,415
1,3700000.0,611,0,1.0,1.0,422
1,3350000.0,610,0,1.0,1.0,435
1,2050000.0,600,0,1.0,3.0,74
1,3500000.0,650,0,1.0,3.0,145
